Chr,Strand,Start,Stop,nbexons
chr1,-,165436927,165445355,2
chr1,-,19293246,19295736,1
chr1,+,19312245,19332428,10
chr1,-,19591801,19596832,2
chr1,+,19596976,19629821,5
chr1,+,19596976,19629821,5
chr1,-,51789193,51878937,33
chr1,+,148844388,149033019,46
chr1,+,113390852,113685923,21
chr1,+,20633678,20633788,1
chr1,-,20642656,20652193,3
chr1,-,20988313,20988432,1
chr1,+,21293289,21299869,3
chr1,-,22023993,22026048,3
chr1,+,22266238,22266300,1
chr1,-,22633257,22633366,1
chr1,+,22719516,22719598,1
chr1,-,22863158,22863226,1
chr1,+,23044304,23044372,1
chr1,-,23057857,23057934,1
chr1,-,23281308,23285518,2
chr1,+,3690671,3736201,11
chr1,+,23368970,23371837,1
chr1,+,23369217,23371837,3
chr1,+,23521929,23528419,3
chr1,-,23760381,23778297,4
chr1,+,23929069,23929147,1
chr1,+,151047739,151050796,2
chr1,+,24200239,24211690,3
chr1,-,37956979,37990110,17
chr1,-,24899510,24930279,5
chr1,+,202122840,202133588,2
chr1,+,24415749,24472983,11
chr1,+,24415749,24472983,6
chr1,+,24415749,24472983,11
chr1,+,26177489,26189884,21
chr1,-,24496253,24502382,3
chr1,-,24496253,24502382,3
chr1,-,24496253,24502382,3
chr1,-,24496253,24502382,2
chr1,-,24539273,24556024,3
chr1,-,24919344,24919416,1
chr1,+,25023502,25023586,1
chr1,-,25242236,25247519,4
chr1,-,25242236,25247519,5
chr1,-,25242236,25247519,5
chr1,-,25242236,25247519,5
chr1,-,25242236,25247519,6
chr1,-,25242236,25247519,6
chr1,-,25242236,25247519,6
chr1,-,25242236,25247519,5
chr1,-,25242236,25247519,6
chr1,-,25242236,25247519,5
chr1,-,25242236,25267925,4
chr1,-,25242236,25338254,6
chr1,-,25242236,25338254,4
chr1,-,25242236,25338254,4
chr1,-,25302735,25338254,3
chr1,-,25302735,25338254,3
chr1,-,25302735,25338254,2
chr1,-,25302735,25338254,3
chr1,-,25819953,25823606,1
chr1,-,25906361,25906454,1
chr1,+,150487363,150507609,14
chr1,+,69567184,70123488,27
chr1,+,26225319,26229840,4
chr1,-,153992691,154155116,40
chr1,-,206009263,206023909,9
chr1,-,26462756,26467537,4
chr1,-,26462756,26467537,3
chr1,-,26691909,26694131,1
chr1,+,27323873,27326525,1
chr1,-,185296387,185317329,15
chr1,+,145824068,145844401,15
chr1,+,27834400,27834566,1
chr1,+,109620913,109632055,17
chr1,-,27988472,28088637,17
chr1,-,179839966,179877806,7
chr1,-,46545643,46551215,3
chr1,+,19645765,19658456,4
chr1,+,19645371,19658456,4
chr1,+,28505942,28510892,3
chr1,+,28505942,28510892,4
chr1,+,28508557,28508762,1
chr1,-,28578742,28578822,1
chr1,-,28579763,28579893,1
chr1,-,28580380,28580512,1
chr1,-,28580919,28581053,1
chr1,+,28643255,28648530,2
chr1,+,28643255,28648799,2
chr1,+,62597486,62606305,7
chr1,-,29329619,29350114,3
chr1,-,30013951,30037612,7
chr1,-,30739155,30739232,1
chr1,+,30824651,30834284,3
chr1,-,30968162,30968237,1
chr1,-,31758659,31758735,1
chr1,+,32086948,32087007,1
chr1,-,32214476,32222371,10
chr1,-,32214476,32222371,11
chr1,-,155262867,155273529,12
chr1,-,32216196,32222371,6
chr1,-,32231659,32241710,7
chr1,-,32364632,32394461,12
chr1,+,161706971,161714352,3
chr1,+,161706971,161714352,2
chr1,+,32825312,32858879,8
chr1,+,32825312,32858879,7
chr1,+,45012132,45015669,10
chr1,-,32333828,32336239,2
chr1,-,111117169,111140216,9
chr1,-,111117169,111140216,10
chr1,-,111117169,111140216,8
chr1,-,111117169,111140216,9
chr1,+,33350351,33363245,3
chr1,+,100352466,100485370,11
chr1,+,100352466,100499465,15
chr1,-,34975698,34978706,3
chr1,-,34981525,34985347,3
chr1,+,241848190,241889939,15
chr1,-,35358823,35366077,2
chr1,-,944202,959299,19
chr1,+,35807623,35857889,20
chr1,+,100719639,100739046,8
chr1,-,36322029,36323648,2
chr1,-,36418447,36418578,1
chr1,+,37161562,37161634,1
chr1,+,37480229,37480289,1
chr1,-,37500934,37500994,1
chr1,-,64833222,65067746,26
chr1,-,205607942,205632872,5
chr1,+,111755567,111767577,11
chr1,+,38089230,38089329,1
chr1,+,38475195,38476484,3
chr1,-,38862489,38873378,4
chr1,-,38862489,38881626,6
chr1,-,38862489,38881626,7
chr1,-,38862489,38881626,5
chr1,-,38862489,38881626,4
chr1,-,38862489,38881626,3
chr1,+,38873400,38876226,2
chr1,+,39409503,39416482,1
chr1,+,39514865,39516669,1
chr1,-,39522279,39559698,9
chr1,-,39522279,39559698,10
chr1,-,39522279,39559698,12
chr1,-,39522279,39559698,13
chr1,-,39522279,39559698,12
chr1,+,39565069,39573203,4
chr1,+,39788975,39790170,1
chr1,+,33868955,33885458,8
chr1,+,71046505,71067182,3
chr1,-,172136878,172144835,1
chr1,+,46538695,46570255,8
chr1,-,175156986,175192813,5
chr1,+,46798997,46819349,10
chr1,+,41014589,41043890,4
chr1,-,85318484,85578363,7
chr1,-,41375003,41375669,2
chr1,-,41478774,41484683,5
chr1,+,3690671,3736201,11
chr1,-,205448301,205448398,1
chr1,+,5564070,5564143,1
chr1,-,42776665,42784895,3
chr1,+,42857621,42888792,4
chr1,-,43171651,43171712,1
chr1,+,47333796,47378839,5
chr1,-,150265398,150269209,5
chr1,-,43383907,43389812,8
chr1,-,43447775,43448644,2
chr1,+,43448538,43448611,1
chr1,+,147242640,147295766,19
chr1,+,147242640,147295766,22
chr1,-,43699737,43707341,5
chr1,-,46635038,46668427,9
chr1,-,1203507,1206709,5
chr1,-,1203507,1206709,4
chr1,-,43709404,43727343,4
chr1,+,43838621,43838683,1
chr1,+,43991708,43996526,6
chr1,-,101802566,101997234,6
chr1,-,1253911,1273854,7
chr1,-,155659441,155688973,11
chr1,-,44222594,44244283,4
chr1,-,44243375,44244283,2
chr1,-,44252343,44252559,1
chr1,+,44545492,44545552,1
chr1,-,44670956,44671056,1
chr1,+,44762034,44762107,1
chr1,+,44775864,44775938,1
chr1,+,44776491,44776589,1
chr1,+,44777841,44777912,1
chr1,+,44778389,44778458,1
chr1,+,100266157,100292769,11
chr1,-,158610705,158686715,52
chr1,-,33007939,33036911,7
chr1,+,26169896,26170873,3
chr1,+,2476314,2505530,22
chr1,+,2467458,2505530,22
chr1,-,46040139,46176495,10
chr1,+,46133370,46139080,3
chr1,-,46175485,46176495,2
chr1,-,157745732,157777132,9
chr1,-,153992691,154155116,38
chr1,+,46340176,46365152,7
chr1,+,46340176,46365152,5
chr1,+,46340176,46365152,5
chr1,+,46433826,46445702,9
chr1,+,117001749,117036551,10
chr1,-,43164173,43172315,9
chr1,-,36136568,36149514,3
chr1,-,36136568,36149514,2
chr1,+,47179249,47180339,2
chr1,-,47380795,47437317,5
chr1,+,186828899,186988981,18
chr1,-,48101714,48182428,10
chr1,+,227734995,227776970,5
chr1,+,49257410,49269294,4
chr1,-,49374200,49472085,4
chr1,+,51059836,51059905,1
chr1,-,51195094,51235096,2
chr1,-,27891525,27914797,9
chr1,+,112674311,112700746,22
chr1,-,212856603,212858138,2
chr1,-,212856603,212858138,2
chr1,+,24319321,24364480,16
chr1,+,24319321,24355318,16
chr1,+,110339322,110346681,3
chr1,+,231626814,232041273,11
chr1,+,52050917,52052683,3
chr1,+,224929653,224969791,6
chr1,+,52633343,52669120,6
chr1,+,52633343,52669120,5
chr1,+,33081128,33120531,8
chr1,+,33082177,33120531,9
chr1,+,52928673,52928772,1
chr1,+,52934929,52935017,1
chr1,+,52940313,52940413,1
chr1,+,109687795,109693745,8
chr1,-,53087178,53142632,11
chr1,+,53238609,53242783,3
chr1,+,53328232,53336509,3
chr1,-,53438369,53440020,2
chr1,-,53765460,53838552,17
chr1,-,53851718,53889814,12
chr1,-,53851718,53889814,11
chr1,-,53851718,53889831,9
chr1,-,53921560,53945823,4
chr1,-,53921560,53945823,7
chr1,+,162069790,162370023,10
chr1,+,54053571,54112519,5
chr1,+,54054078,54054154,1
chr1,+,213051232,213274774,14
chr1,+,54641739,54710267,24
chr1,+,54641739,54710267,23
chr1,+,55215407,55217455,1
chr1,+,55217860,55234177,2
chr1,+,55225640,55225723,1
chr1,-,2191894,2194775,4
chr1,-,56627790,56645318,3
chr1,-,56718803,56819696,20
chr1,+,57860542,57862982,2
chr1,+,57860542,57863114,2
chr1,+,57860542,57863114,2
chr1,+,57860542,57863114,2
chr1,-,21596220,21669380,29
chr1,+,59020475,59088247,3
chr1,-,59131935,59146807,3
chr1,+,206470242,206496890,21
chr1,-,206903285,206921890,7
chr1,+,156337313,156346994,4
chr1,+,43269993,43274002,4
chr1,+,241652277,241802132,27
chr1,-,39659120,39672038,6
chr1,+,151070603,151118531,9
chr1,-,59733226,59733296,1
chr1,+,59772794,59788829,3
chr1,-,60515715,60622685,8
chr1,-,60659630,60825584,6
chr1,-,60940243,60970776,7
chr1,-,60953737,60970776,4
chr1,-,20112649,20119566,3
chr1,-,61248944,61253518,4
chr1,+,61654241,61656128,1
chr1,-,61681046,61725423,8
chr1,-,61681046,61725423,6
chr1,+,207104261,207144972,12
chr1,+,8945833,8975089,8
chr1,+,62078785,62078859,1
chr1,-,62078788,62078856,1
chr1,+,43979201,43991171,7
chr1,-,161171309,161177968,8
chr1,-,20806291,21111383,32
chr1,-,153330120,153348841,9
chr1,-,63000496,63010925,2
chr1,-,63000496,63011268,2
chr1,-,63000496,63012471,2
chr1,-,63159082,63317257,12
chr1,+,120912237,120955811,4
chr1,-,63326924,63326984,1
chr1,-,63440769,63523273,10
chr1,-,64094441,64112205,6
chr1,-,64105322,64113791,4
chr1,+,27830740,27851672,7
chr1,+,64579846,64579921,1
chr1,+,236795280,236903981,32
chr1,+,236795280,236903981,32
chr1,-,64979576,65002476,7
chr1,-,65057754,65057842,1
chr1,+,172533117,172611833,23
chr1,-,230837118,230856036,4
chr1,-,113894194,113905124,11
chr1,-,92832728,92961522,5
chr1,-,66042499,66050718,3
chr1,+,181033424,181061938,6
chr1,-,36322029,36324154,3
chr1,-,39769524,39771348,1
chr1,-,67092175,67134971,10
chr1,-,33513998,34165842,70
chr1,+,68496675,68538627,3
chr1,+,69055897,69185002,5
chr1,-,23304689,23344364,9
chr1,+,69919321,69920317,1
chr1,+,70221350,70253049,13
chr1,+,70354809,70368022,4
chr1,+,70706452,70786468,7
chr1,-,26282281,26318265,15
chr1,-,71794231,71837012,3
chr1,+,73306169,73307572,2
chr1,+,73306169,73338877,4
chr1,+,73674678,73738642,4
chr1,+,74198211,74464925,24
chr1,+,74198211,74544432,27
chr1,-,47432134,47434641,1
chr1,+,74733177,74766676,6
chr1,-,75742001,75745013,1
chr1,+,75786193,75795090,11
chr1,+,75787071,75787149,1
chr1,+,75787888,75787972,1
chr1,+,75789476,75789547,1
chr1,-,75918872,75932431,3
chr1,+,76011323,76019356,3
chr1,-,190097666,190476010,7
chr1,+,76074683,76630984,6
chr1,+,77060142,77060202,1
chr1,+,180632009,180890279,13
chr1,+,78649788,78664078,6
chr1,+,78649788,78664078,8
chr1,+,80535754,80646788,4
chr1,+,80535754,80646788,3
chr1,+,80641286,80646788,3
chr1,-,81513879,81557702,4
chr1,-,12567909,12616784,6
chr1,-,110362850,110391082,7
chr1,-,18871429,18902799,14
chr1,+,82903182,83166815,11
chr1,-,82973882,82984922,3
chr1,-,82973882,82986208,3
chr1,+,83446053,83454771,2
chr1,-,83575788,83860996,3
chr1,-,83801515,83860546,3
chr1,-,19282562,19288786,7
chr1,-,84364957,84384801,7
chr1,+,22636761,22639682,3
chr1,+,22636505,22639682,3
chr1,-,84628229,84635020,3
chr1,+,85133793,85133873,1
chr1,-,85249953,85259672,4
chr1,+,85276357,85278088,2
chr1,+,32539144,32605950,5
chr1,-,85729232,86156471,60
chr1,-,85729232,86156471,59
chr1,-,85729232,86156471,60
chr1,-,85729232,86156696,61
chr1,-,85729232,86156696,61
chr1,-,85729232,86157036,61
chr1,-,16974503,16980678,9
chr1,-,16974503,16981586,9
chr1,-,86357631,86357687,1
chr1,+,86547075,86580749,13
chr1,-,86571180,86704493,5
chr1,+,86634275,86655376,15
chr1,-,86703497,86704493,1
chr1,-,16985957,17011972,29
chr1,-,86862444,86914475,5
chr1,-,86862444,86914577,5
chr1,+,87129764,87136671,3
chr1,+,87129764,87169203,3
chr1,+,87131925,87136671,4
chr1,+,87131925,87136671,3
chr1,+,87131925,87136671,3
chr1,+,87212668,87251331,4
chr1,-,87353525,87371655,4
chr1,-,88537512,88685204,4
chr1,-,88921043,88992748,15
chr1,-,88921043,88992748,14
chr1,-,89006676,89022866,12
chr1,+,201982637,202006147,10
chr1,+,201982637,202006147,10
chr1,+,201983329,202006147,11
chr1,-,89008843,89022866,10
chr1,-,88935772,88992960,13
chr1,-,89006676,89022866,9
chr1,-,89289257,89290362,1
chr1,+,89407678,89424934,5
chr1,-,75202130,75611114,24
chr1,-,89624848,89632894,3
chr1,-,89993264,89994966,1
chr1,+,90657749,90657963,1
chr1,-,90782983,90851638,3
chr1,+,90851758,90854899,2
chr1,-,107571159,107964923,27
chr1,+,28259451,28282491,10
chr1,+,92168857,92184725,7
chr1,+,46798997,46819349,12
chr1,-,27891525,27914797,8
chr1,-,27891525,27914797,9
chr1,+,205043123,205078272,23
chr1,-,93149741,93180689,5
chr1,-,93310108,93345811,9
chr1,-,12567909,12596396,6
chr1,+,156114669,156137866,10
chr1,+,93591967,93600030,4
chr1,+,155135811,155138858,6
chr1,-,67701465,67833472,4
chr1,+,220094112,220148041,23
chr1,+,27959461,27968096,3
chr1,-,94657532,94820281,5
chr1,-,94745859,94745900,1
chr1,+,94820341,94895247,15
chr1,+,94928027,94963270,4
chr1,+,95061595,95067545,2
chr1,+,95117922,95244953,8
chr1,-,95163218,95233982,5
chr1,-,95163218,95233982,4
chr1,-,95310927,95318263,2
chr1,-,95351250,95352107,2
chr1,+,95474736,95479356,4
chr1,+,95510115,95515464,3
chr1,+,95510115,95515464,2
chr1,+,95992067,96022880,5
chr1,-,96254068,96374125,6
chr1,+,97095922,97322955,5
chr1,+,97796920,97798051,3
chr1,-,97933473,97941740,2
chr1,-,98045242,98045351,1
chr1,+,98210710,98272658,3
chr1,+,98661679,98760500,9
chr1,+,99004275,99148852,3
chr1,-,99472419,99487804,3
chr1,-,99516983,99712953,5
chr1,-,5862807,5992473,26
chr1,-,5862807,5992473,27
chr1,+,100133149,100150498,11
chr1,+,120889745,120890405,1
chr1,-,100264741,100266174,3
chr1,-,100264741,100266174,3
chr1,+,100281240,100281308,1
chr1,-,100872371,100895179,6
chr1,+,101025845,101087379,5
chr1,-,101234872,101236528,2
chr1,+,101323836,101377313,5
chr1,-,101802566,101847080,7
chr1,-,101802566,101997234,8
chr1,-,101802566,101997234,7
chr1,+,101872011,101894743,2
chr1,-,103417080,103525511,4
chr1,-,103417080,103525511,6
chr1,-,103417080,103525511,5
chr1,+,103569403,103571386,1
chr1,+,111290851,111320566,11
chr1,+,67307363,67396900,14
chr1,+,111290851,111320566,10
chr1,+,111290851,111320566,8
chr1,+,111290851,111320566,11
chr1,+,104073022,104077071,2
chr1,-,105589693,105618935,4
chr1,-,105602151,105618935,4
chr1,-,105927623,106028253,6
chr1,+,107897222,107897304,1
chr1,+,107964442,107994607,3
chr1,+,109090740,109096934,4
chr1,+,109090740,109096934,2
chr1,+,109100192,109100612,1
chr1,+,196774799,196794073,6
chr1,-,201359007,201377700,16
chr1,-,20482390,20486235,2
chr1,+,31413812,31434680,10
chr1,+,110082687,110109719,4
chr1,-,154944082,154956163,8
chr1,+,244970328,245125228,7
chr1,-,155659441,155688774,11
chr1,-,155659441,155689032,11
chr1,-,110487679,110490258,2
chr1,+,111139382,111185104,10
chr1,+,111140162,111185104,10
chr1,+,111140162,111185104,10
chr1,+,111280523,111286108,8
chr1,-,111384518,111389851,5
chr1,-,43363396,43368074,8
chr1,+,156369188,156385221,11
chr1,+,155002629,155018525,5
chr1,+,111739840,111747798,3
chr1,+,111739840,111747798,2
chr1,-,111745316,111755509,3
chr1,-,111853761,111856905,2
chr1,+,111909656,111910930,4
chr1,+,111990535,111998841,2
chr1,-,112461769,112461833,1
chr1,+,149899581,149900795,2
chr1,+,149899581,149900795,2
chr1,-,37681569,37692274,7
chr1,+,108692309,108702930,6
chr1,-,37681569,37692274,6
chr1,+,108692309,108702930,7
chr1,-,37681569,37692274,7
chr1,+,108692309,108702930,8
chr1,-,37681569,37692274,6
chr1,+,108692309,108702930,7
chr1,-,37681569,37690595,5
chr1,-,37681569,37690595,5
chr1,+,108692309,108702930,8
chr1,-,37681569,37692274,6
chr1,+,108692309,108702930,7
chr1,-,37681569,37692274,7
chr1,+,108692309,108702930,8
chr1,+,108692309,108702930,7
chr1,+,112923349,112924673,1
chr1,+,112956414,112964068,3
chr1,+,112956414,112964068,3
chr1,-,113011686,113073102,3
chr1,-,113196780,113206253,3
chr1,+,196651877,196747504,22
chr1,-,113697204,113759540,21
chr1,-,113697204,113759540,19
chr1,-,113697204,113759540,20
chr1,-,113697204,113759540,20
chr1,-,113703824,113759540,15
chr1,+,63623215,63660246,11
chr1,+,63593808,63660246,11
chr1,-,113761831,113812476,8
chr1,+,113812611,113901237,5
chr1,-,108223340,108244081,15
chr1,-,167809387,167914226,33
chr1,+,113856634,113901237,5
chr1,+,161749767,161757164,6
chr1,+,50969969,50974637,2
chr1,+,115919375,115925908,3
chr1,-,115922572,115977276,5
chr1,-,172441456,172444090,2
chr1,-,116423723,116478826,4
chr1,-,116453033,116478826,4
chr1,-,116560023,116560111,1
chr1,+,84164183,84238498,12
chr1,-,117025481,117059490,4
chr1,+,117295465,117321336,3
chr1,-,117596831,117605770,3
chr1,-,24154156,24187275,6
chr1,-,24154156,24187275,7
chr1,-,119000343,119001405,2
chr1,-,119000343,119001405,2
chr1,+,119047404,119063287,2
chr1,+,119140395,119151408,4
chr1,+,119140395,119183823,4
chr1,+,119140395,119234178,5
chr1,+,119140395,119275973,7
chr1,+,119328251,119356182,4
chr1,+,119368945,119370330,2
chr1,+,119563879,119572576,1
chr1,-,120432203,120434109,1
chr1,-,120469629,120665436,44
chr1,-,120469629,120665436,42
chr1,-,120850818,120850985,1
chr1,+,120942599,120942763,1
chr1,-,120985691,121052167,3
chr1,+,121087344,121097161,6
chr1,-,121108440,121117251,2
chr1,+,115642628,115698224,8
chr1,-,121360155,121397905,4
chr1,-,143399970,143422592,4
chr1,-,143401429,143424684,4
chr1,-,143401429,143424684,3
chr1,-,143699455,143699619,1
chr1,-,143729406,143729570,1
chr1,-,143729406,143729570,1
chr1,-,143729406,143729570,1
chr1,-,143729406,143729570,1
chr1,+,143793599,143797066,2
chr1,+,143874742,143883733,6
chr1,-,143955363,143973519,4
chr1,+,143972638,144069704,8
chr1,-,144225569,144248205,4
chr1,-,144227028,144250297,4
chr1,-,144227028,144250297,3
chr1,-,144274552,144276762,1
chr1,-,144276483,144302541,10
chr1,+,144412575,144412740,1
chr1,-,144551778,144551943,1
chr1,+,144641368,144919902,4
chr1,+,144663836,144689892,10
chr1,+,144689613,144691823,1
chr1,+,144716078,144739347,4
chr1,+,144716078,144739347,3
chr1,+,144718170,144740806,4
chr1,+,145094295,145112692,4
chr1,+,66354377,66374579,10
chr1,-,11785729,11806103,12
chr1,-,145164140,145167607,2
chr1,-,145168404,145216071,4
chr1,-,145168404,145216071,2
chr1,-,145168404,145216071,3
chr1,-,145168404,145216071,4
chr1,-,145168404,145216071,3
chr1,+,145281115,145281279,1
chr1,+,223701592,223776018,21
chr1,-,19682212,19800021,16
chr1,-,161046941,161069970,13
chr1,-,62236164,62319412,10
chr1,-,145850586,145850645,1
chr1,-,155946838,155978175,22
chr1,-,155946838,155979290,22
chr1,+,145919012,145925341,3
chr1,+,145919189,145920668,3
chr1,+,145919343,145925341,4
chr1,+,146052595,146058799,4
chr1,+,146052595,146058799,3
chr1,+,16367029,16398148,4
chr1,+,146297772,146301606,1
chr1,+,146376806,146376970,1
chr1,+,146376806,146376970,1
chr1,+,146376806,146376970,1
chr1,+,146376806,146376970,1
chr1,+,146486331,146822034,56
chr1,-,147019335,147043039,6
chr1,+,183805080,183928551,17
chr1,+,193059421,193085985,8
chr1,+,202348701,202588569,25
chr1,-,154211460,154220797,6
chr1,+,205257196,205273343,4
chr1,-,154211460,154220797,5
chr1,-,154206700,154220797,6
chr1,-,169463910,169485970,6
chr1,+,26826709,26855720,8
chr1,-,172144534,172144644,1
chr1,-,43996482,44017340,13
chr1,-,235826322,235883708,4
chr1,-,41847188,42035925,4
chr1,-,147382191,147517875,4
chr1,-,147647365,147670543,9
chr1,-,147647365,147670543,10
chr1,-,147647365,147670543,10
chr1,-,147647365,147670543,9
chr1,-,147993861,148014956,10
chr1,-,148038752,148038916,1
chr1,+,148049301,148094777,8
chr1,-,148102045,148152190,25
chr1,-,148102045,148152190,23
chr1,+,148162709,148163412,2
chr1,-,148208092,148247071,5
chr1,-,148334478,148334554,1
chr1,-,148362369,148362533,1
chr1,+,148388281,148388363,1
chr1,+,148402482,148432545,9
chr1,+,148402714,148402875,1
chr1,+,148748555,148752389,1
chr1,-,21727845,21783199,11
chr1,-,20941244,21168039,13
chr1,-,89052303,89065360,11
chr1,+,100352466,100499465,14
chr1,+,100345014,100499465,15
chr1,+,149607011,149647668,3
chr1,+,149607011,149647668,2
chr1,+,149607011,149647668,3
chr1,+,149607011,149679523,9
chr1,+,149702208,149705675,2
chr1,-,149850191,149850773,1
chr1,-,205767985,205775482,6
chr1,+,150160727,150181228,4
chr1,-,21596220,21669380,27
chr1,+,150261693,150261797,1
chr1,+,221966409,221984964,3
chr1,+,224114086,224162047,4
chr1,-,36455760,36464439,8
